	model	mparms	trsamples	bsize	lr	gamma	maxepochs	avgtestloss
267	Linear1_Dropout	(0.9,)	6000	20	0.5	0.7	10	0.1572970291376114
268	Linear1_Dropout	(0.9,)	6000	20	0.5	0.7	100	0.15714035522937775
269	Linear1_Dropout	(0.9,)	6000	20	0.5	0.7	250	0.15714035522937775
270	Linear1_Dropout	(0.9,)	6000	20	1.0	0.3	10	0.15726513350009919
271	Linear1_Dropout	(0.9,)	6000	20	1.0	0.3	100	0.1572651391029358
272	Linear1_Dropout	(0.9,)	6000	20	1.0	0.3	250	0.1572651391029358
273	Linear1_Dropout	(0.9,)	6000	20	1.0	0.7	10	0.15754802083969116
274	Linear1_Dropout	(0.9,)	6000	20	1.0	0.7	100	0.1571575561761856
275	Linear1_Dropout	(0.9,)	6000	20	1.0	0.7	250	0.1571575561761856
276	Linear1_Dropout	(0.9,)	6000	50	0.5	0.3	10	0.15708484387397767
277	Linear1_Dropout	(0.9,)	6000	50	0.5	0.3	100	0.15708486533164978
278	Linear1_Dropout	(0.9,)	6000	50	0.5	0.3	250	0.15708486533164978
279	Linear1_Dropout	(0.9,)	6000	50	0.5	0.7	10	0.15720666074752807
280	Linear1_Dropout	(0.9,)	6000	50	0.5	0.7	100	0.1570805323123932
281	Linear1_Dropout	(0.9,)	6000	50	0.5	0.7	250	0.1570805323123932
282	Linear1_Dropout	(0.9,)	6000	50	1.0	0.3	10	0.15709742403030397
283	Linear1_Dropout	(0.9,)	6000	50	1.0	0.3	100	0.15709750485420226
284	Linear1_Dropout	(0.9,)	6000	50	1.0	0.3	250	0.15709750485420226
285	Linear1_Dropout	(0.9,)	6000	50	1.0	0.7	10	0.15684622311592103
286	Linear1_Dropout	(0.9,)	6000	50	1.0	0.7	100	0.15701781368255616
287	Linear1_Dropout	(0.9,)	6000	50	1.0	0.7	250	0.15701781368255616
288	Linear1_RELU	()	600	10	0.5	0.3	10	0.13464858025312423
289	Linear1_RELU	()	600	10	0.5	0.3	100	0.13464844077825547
290	Linear1_RELU	()	600	10	0.5	0.3	250	0.13464844077825547
291	Linear1_RELU	()	600	10	0.5	0.7	10	0.05489504799246788
292	Linear1_RELU	()	600	10	0.5	0.7	100	0.053279998153448103
293	Linear1_RELU	()	600	10	0.5	0.7	250	0.053279998153448103
294	Linear1_RELU	()	600	10	1.0	0.3	10	0.019546250626444817
295	Linear1_RELU	()	600	10	1.0	0.3	100	0.019546177238225937
296	Linear1_RELU	()	600	10	1.0	0.3	250	0.019546177238225937
297	Linear1_RELU	()	600	10	1.0	0.7	10	0.0007980567996855825
298	Linear1_RELU	()	600	10	1.0	0.7	100	0.0006662483012769371
299	Linear1_RELU	()	600	10	1.0	0.7	250	0.0006662483012769371
300	Linear1_RELU	()	600	20	0.5	0.3	10	0.000290411050664261
301	Linear1_RELU	()	600	20	0.5	0.3	100	0.0002904096734710038
302	Linear1_RELU	()	600	20	0.5	0.3	250	0.0002904096734710038
303	Linear1_RELU	()	600	20	0.5	0.7	10	1.0596720676403492e-05
304	Linear1_RELU	()	600	20	0.5	0.7	100	9.26759785215836e-06
305	Linear1_RELU	()	600	20	0.5	0.7	250	9.26759785215836e-06
306	Linear1_RELU	()	600	20	1.0	0.3	10	1.602594818450598e-07
307	Linear1_RELU	()	600	20	1.0	0.3	100	1.6025582567635864e-07
308	Linear1_RELU	()	600	20	1.0	0.3	250	1.6025582567635864e-07
309	Linear1_RELU	()	600	20	1.0	0.7	10	1.1526929896699122e-11
310	Linear1_RELU	()	600	20	1.0	0.7	100	9.039004232602731e-12
311	Linear1_RELU	()	600	20	1.0	0.7	250	9.039004232602731e-12
312	Linear1_RELU	()	600	50	0.5	0.3	10	3.952713156785137e-12
313	Linear1_RELU	()	600	50	0.5	0.3	100	3.954525040761325e-12
314	Linear1_RELU	()	600	50	0.5	0.3	250	3.954525040761325e-12
315	Linear1_RELU	()	600	50	0.5	0.7	10	6.59757422305507e-13
316	Linear1_RELU	()	600	50	0.5	0.7	100	6.357105727244905e-13
317	Linear1_RELU	()	600	50	0.5	0.7	250	6.357105727244905e-13
318	Linear1_RELU	()	600	50	1.0	0.3	10	1.3945315822244676e-13
319	Linear1_RELU	()	600	50	1.0	0.3	100	1.3945315822244676e-13
320	Linear1_RELU	()	600	50	1.0	0.3	250	1.3945315822244676e-13
321	Linear1_RELU	()	600	50	1.0	0.7	10	1.0410008629852669e-14
322	Linear1_RELU	()	600	50	1.0	0.7	100	9.586608037352034e-15
323	Linear1_RELU	()	600	50	1.0	0.7	250	9.586608037352034e-15
324	Linear1_RELU	()	6000	10	0.5	0.3	10	2.9374134587645696e-15
325	Linear1_RELU	()	6000	10	0.5	0.3	100	2.9369693695547194e-15
326	Linear1_RELU	()	6000	10	0.5	0.3	250	2.9369693695547194e-15
327	Linear1_RELU	()	6000	10	0.5	0.7	10	3.0081827413292123e-15
